model_name,best_cv_roc_auc,decision_threshold,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8688801020408163,0.33000000000000007,0.7007299270072993,0.5764705882352941,0.9074074074074074,0.7050359712230215,0.856091030789826
LogisticRegression,0.8645561224489796,0.21000000000000008,0.6861313868613139,0.5632183908045977,0.9074074074074074,0.6950354609929078,0.8451584114234716
GradientBoosting,0.8602691326530613,0.275,0.6788321167883211,0.5568181818181818,0.9074074074074074,0.6901408450704225,0.8580990629183399
ExtraTrees,0.8662244897959184,0.27,0.656934306569343,0.5384615384615384,0.9074074074074074,0.6758620689655173,0.8473895582329317
