mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features
0.9416773284461272,0.011545798968136498,1,300,10,1,2,log2
0.9407705164680402,0.014085625901544854,2,200,8,1,4,log2
0.9396816604390041,0.014169463381942018,3,200,,2,4,log2
0.9394244955838256,0.013101495143910681,4,300,6,3,4,log2
0.9394244955838256,0.013101495143910681,4,400,6,1,10,sqrt
0.9394244955838256,0.013101495143910681,4,100,,2,6,log2
0.9394244955838256,0.013101495143910681,4,400,,2,6,sqrt
0.9394244955838256,0.013101495143910681,4,300,6,3,2,sqrt
0.9394244955838256,0.013101495143910681,4,300,10,3,4,log2
0.9394244955838256,0.013101495143910681,4,400,8,3,8,sqrt
0.9394244955838256,0.013101495143910681,4,500,6,1,6,log2
0.9382014976206564,0.011997291916361548,12,100,8,2,4,log2
0.9382012128845381,0.01251842213945408,13,400,10,4,4,sqrt
0.9382012128845381,0.01251842213945408,13,200,,4,2,sqrt
0.9382012128845381,0.01251842213945408,13,400,4,4,8,log2
0.9382012128845381,0.01251842213945408,13,400,8,4,8,log2
0.9382012128845381,0.01251842213945408,13,200,10,4,8,log2
0.9382005053757471,0.011967192187561768,18,100,,3,2,sqrt
0.9382005053757471,0.011967192187561768,18,500,8,3,8,log2
0.9382005053757471,0.011967192187561768,18,200,8,3,4,sqrt
0.9380759335912563,0.011873989815565061,21,100,6,2,10,sqrt
0.9380644139789294,0.012481369525119424,22,200,4,5,4,log2
0.9380644139789294,0.012481369525119424,22,200,4,3,10,log2
0.9380644139789294,0.012481369525119424,22,200,4,5,6,sqrt
0.9369772226764596,0.011192892147180689,25,100,6,4,8,log2
0.9369772226764596,0.011192892147180689,25,500,4,5,4,sqrt
0.9367158519863601,0.01102083189412198,27,100,6,5,10,sqrt
0.936632631367593,0.013373516836288147,28,200,8,1,2,
0.9361887210433254,0.012039723642457421,29,400,,1,4,log2
0.9355902557756683,0.015752477257068413,30,200,4,3,8,
0.934497803790261,0.016049662524309456,31,300,,5,6,log2
0.934497803790261,0.016049662524309456,31,300,,5,4,log2
0.9343372101787313,0.015505530273344666,33,300,4,4,8,
0.9343372101787313,0.015505530273344666,33,400,4,3,2,
0.9342597538021276,0.016023757252826915,35,200,10,3,10,
0.9342118096603802,0.014942217444642057,36,100,8,5,6,
0.9334073061838385,0.01547893922808594,37,200,6,2,2,
0.933145935493739,0.015294094205683005,38,200,10,3,8,
0.9318659895679536,0.015852193797091792,39,200,,5,4,
0.9317591262245768,0.017250740253461922,40,500,6,3,8,
