mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features
0.9428559656468638,0.01091756064013643,1,400,10,1,2,sqrt
0.9428559656468638,0.01091756064013643,1,400,10,1,2,log2
0.9418721076553108,0.014340858595799404,3,400,8,2,4,log2
0.9418721076553108,0.014340858595799404,3,400,8,2,4,sqrt
0.9418721076553108,0.014340858595799404,3,400,8,2,2,sqrt
0.9418721076553108,0.014340858595799404,3,400,8,2,2,log2
0.9416773284461272,0.011545798968136498,7,300,10,1,2,log2
0.9416773284461272,0.011545798968136498,7,300,10,1,2,sqrt
0.9415584184543848,0.011477041316438005,9,200,10,1,2,log2
0.9415584184543848,0.011477041316438005,9,200,10,1,2,sqrt
0.9407705164680402,0.014085625901544854,11,200,8,1,4,sqrt
0.9407705164680402,0.014085625901544854,11,200,10,2,4,sqrt
0.9407705164680402,0.014085625901544854,11,200,10,2,2,sqrt
0.9407705164680402,0.014085625901544854,11,200,10,2,4,log2
0.9407705164680402,0.014085625901544854,11,200,8,1,4,log2
0.9407705164680402,0.014085625901544854,11,200,10,2,2,log2
0.9406337175624315,0.014077695309818176,17,400,10,2,2,log2
0.9406337175624315,0.014077695309818176,17,400,10,2,2,sqrt
0.9406337175624315,0.014077695309818176,17,400,10,2,4,sqrt
0.9406337175624315,0.014077695309818176,17,400,10,2,4,log2
0.9396816604390041,0.014169463381942018,21,200,8,2,2,log2
0.9396816604390041,0.014169463381942018,21,200,8,2,4,log2
0.9396816604390041,0.014169463381942018,21,200,8,2,2,sqrt
0.9396816604390041,0.014169463381942018,21,200,8,2,4,sqrt
0.939546526259962,0.013162993719161738,25,300,8,2,2,sqrt
0.939546526259962,0.013162993719161738,25,300,8,2,2,log2
0.939546526259962,0.013162993719161738,25,300,8,2,4,sqrt
0.939546526259962,0.013162993719161738,25,300,8,2,4,log2
0.9395329263687611,0.014206813673095066,29,300,10,2,2,log2
0.9395329263687611,0.014206813673095066,29,300,10,2,4,log2
0.9395329263687611,0.014206813673095066,29,300,10,2,4,sqrt
0.9395329263687611,0.014206813673095066,29,300,10,2,2,sqrt
0.9392735066528367,0.009105562406207865,33,200,8,1,2,sqrt
0.9392735066528367,0.009105562406207865,33,200,8,1,2,log2
0.9391853075517785,0.010730217056586902,35,300,8,1,2,log2
0.9391853075517785,0.010730217056586902,35,300,8,1,2,sqrt
0.9389739067959898,0.015086788925492268,37,400,8,1,2,log2
0.9389739067959898,0.015086788925492268,37,400,8,1,2,sqrt
0.9384576702309259,0.013151720074177413,39,200,10,1,4,log2
0.9384576702309259,0.013151720074177413,39,300,10,1,4,log2
0.9384576702309259,0.013151720074177413,39,300,10,1,4,sqrt
0.9384576702309259,0.013151720074177413,39,200,10,1,4,sqrt
0.9373673582440623,0.011990861338350286,43,300,8,1,4,log2
0.9373673582440623,0.011990861338350286,43,400,8,1,4,log2
0.9373673582440623,0.011990861338350286,43,400,8,1,4,sqrt
0.9373673582440623,0.011990861338350286,43,300,8,1,4,sqrt
0.9361887210433254,0.012039723642457421,47,400,10,1,4,sqrt
0.9361887210433254,0.012039723642457421,47,400,10,1,4,log2
