,importance
preexisting_diabetes,0.017251038346372993
gestational_diabetes,0.006044141794648838
bmi,0.005976528542451448
mental_health,0.0028783927364048724
heart_rate,0.0018593644354293116
bs,0.0017651888341543077
previous_complications,0.0007654786052351537
age,0.0001303969863807153
body_temp,0.00012073795035251189
systolic_bp,7.244277021150602e-05
diastolic,3.139186709164021e-05
