,importance
bmi,0.2239676302001048
preexisting_diabetes,0.18176140829183068
bs,0.16385941417343097
heart_rate,0.15087315621709507
mental_health,0.09274635639506794
gestational_diabetes,0.07298177466309429
previous_complications,0.044265599900015745
systolic_bp,0.026576345923081814
diastolic,0.02150893785006757
age,0.014960446935922404
body_temp,0.006118645656680252
